ASCII Name;Coordinates
Barnwood;51.86393,-2.20087
Isle of Lewis;58.21901,-6.38803
Flimwell;51.05502,0.44531
Stakeford;55.1611,-1.57529
Highland;57.48566,-4.22823
Addiebrownhill;55.84289,-3.61667
Banknock;55.98967,-3.95611
Holbeck;53.78359,-1.56791
Gipsy Hill;51.42742,-0.092
Zahesi;41.82458,44.75361
Ts'khinvali;42.22764,43.96861
Shaumiani;41.35134,44.7645
Q'vareli;41.95493,45.81716
Lanchkhuti;42.09027,42.03239
Torteval;49.43333,-2.65
Bibiani;6.46346,-2.31938
Narsaq;60.91298,-46.05055
Sami;13.58333,-15.2
Bakadagy;13.3,-14.38333
Tougue;11.44503,-11.66422
Camayenne;9.535,-13.68778
Rio Campo;2.33812,9.82212
Malabo;3.75578,8.78166
Zoniana;35.29502,24.82944
Voula;37.84221,23.77651
Vasiliki;39.63984,21.70448
Varvasaina;37.67106,21.49886
Vari;37.39859,24.94904
Vanaton;37.79446,20.85188
Thrapsanon;35.18798,25.28091
Fira;36.42107,25.43087
Souda;35.48717,24.07344
Sitia;35.20783,26.10467
Sision;35.3077,25.52021
Samos;37.75427,26.97699
Rizomylos;39.42763,22.74717
Polichnitos;39.07911,26.18215
Platykampos;39.61667,22.53333
Peta;39.16667,21.03472
Palaia Fokaia;37.71998,23.94792
Mavrommati;39.42386,21.69379
Loutra Aidhipsou;38.85695,23.04739
Loutra;39.05695,26.54476
Limnokhorion;38.14115,21.48047
Leondarion;37.987,23.85518
Kardamyli;36.88778,22.23317
Sainthia;23.94826,87.68045
Ratlam;23.33033,75.04032
Raniganj;23.6164,87.13061
Rajur;20.11087,78.89311
Rajakhera;26.89802,78.171
Piravam;9.86667,76.5
Phulpur;25.54895,82.0895
Pavugada;14.09953,77.28018
Patiala;30.33625,76.3922
Patancheru;17.53334,78.2645
Pariyapuram;11.01667,75.86667
Pansemal;21.65981,74.69937
Pali;25.77276,73.32335
Palasbari;26.12388,91.53974
Palanpur;24.17128,72.43827
Pakala;13.44903,79.11493
Padrauna;26.90403,83.98087
Pachmarhi;22.46791,78.43312
Okha;22.46756,69.07002
Nimaparha;20.05756,86.00436
Narayanpet;16.74799,77.4954
Nalgonda;17.05439,79.26707
Muzaffarpur;26.12259,85.39055
Moga;30.81383,75.16878
Meerut;28.98002,77.70636
Maur;30.08333,75.25
Manglaur;29.79094,77.87836
Mandawar;27.86374,76.54999
Malaut;30.21121,74.4818
