ASCII Name;Coordinates
Bitlis;38.40115,42.10784
Banaz;38.73707,29.75194
Aydin;37.84501,27.83963
Andirin;37.57757,36.35492
Alpu;39.76903,30.9606
Aktuzla;39.33012,42.28533
Aksu;36.95389,30.84778
Akkoy;37.95694,29.07813
Akhisar;38.91852,27.84006
Buyukcat;36.115,36.0774
Yalova;40.65501,29.27693
Tavsancil;40.77083,29.57194
Taflan;41.40944,36.12889
Seben;40.41134,31.57359
Posof;41.51111,42.72917
Ormanli;41.16472,31.61417
Ordu;40.97782,37.89047
Of;40.94055,40.25918
Marmara;40.58633,27.55541
Kullar;40.72419,29.98943
Dikmen;41.65,35.26667
Karakasim;41.51718,26.64381
Hasayaz;40.24067,33.328
Gumus;40.84018,35.17195
Gokcesu;40.89389,31.95957
Gokcekent;40.28644,38.11771
Gerede;40.80083,32.19694
Gelibolu;40.41028,26.67083
Erfelek;41.87926,34.91838
Edincik;40.34229,27.86129
Karsiyaka;40.6936,29.94154
Canakci;40.91139,38.98813
Balli;40.83028,27.05548
Baliklicesme;40.31029,27.08171
Arit;41.68706,32.62396
Camici;40.6181,37.00169
Altinova;40.69495,29.50986
Muratbey;41.0963,28.49227
Niluefer;40.21401,28.91567
Asau Village;-7.49026,178.68016
Banqiao;25.01427,121.46719
Puli;23.96639,120.96952
Ulenje;-8.93333,33.68333
Nzega;-4.21667,33.18333
Nyakahanga;-1.60333,31.14139
Nkove;-7.95,30.85
Mtimbira;-8.78333,36.35
Kirando;-7.41667,30.6
Ikungi;-5.13333,34.76667
Dareda;-4.21667,35.55
Bagamoyo;-6.44222,38.90422
Urzuf;46.91495,37.10426
Zolotonosha;49.66926,32.03637
Mostove;47.4179,30.99232
Zhytomyr;50.26487,28.67669
Zavallya;48.21674,30.01741
Karolino-Buhaz;46.14993,30.54124
Zahvizdia;48.92266,24.66356
Yats'kivka;49.17996,37.52379
Vyshkovo;48.04885,23.41986
Vysunsk;47.26105,32.82324
Valky;49.83597,35.61223
Tynne;50.60145,26.18486
Tsebrykove;47.1464,30.10787
Troyitske;47.6394,30.29025
Terebovlya;49.29967,25.68886
Tarakaniv;50.37961,25.70843
Svalyava;48.54735,22.98673
Stavkove;47.17961,30.63545
Stari Broskivtsi;48.23912,25.74668
Shalyhyne;51.57167,34.12167
Siversk;48.86699,38.10007
Serebryanka;45.63937,33.49632
Savyntsi;49.40257,37.06266
Romashkino;45.25647,33.25517
Pereiaslav;50.06739,31.44969
Peresichna;50.02452,35.97871
Pechenizhyn;48.51668,24.88317
Ostrytsya;48.25792,26.05186
Novoselivka;49.0701,37.69517
Novoselivka;45.67576,29.26511
Novytsia;48.96075,24.33312
Nova Borova;50.69296,28.63446
Nizhyn;51.04801,31.88688
Nasypnoe;45.05285,35.29415
Mityayevo;45.23423,33.7015
Lysa Hora;48.17059,31.10994
Lubny;50.01413,32.99975
Lopatyn;50.22022,24.84831
Krest'yanovka;45.72268,33.93938
Kozova;49.43206,25.14547
Kinetspil;48.00426,30.78659
Kakhovka;46.81601,33.47862
Izvaryne;48.28696,39.89428
Gilowice;49.71277,19.31045
Domaniewice;52.00623,19.80294
Debnica Kaszubska;54.37831,17.16116
Czernichow;49.75443,19.20947
Czermin;51.95008,17.74957
Chyzne;49.42672,19.66956
Chwaszczyno;54.44379,18.41875
Chorzow;50.30582,18.9742
Budzow;50.59337,16.71038
Brzeg;50.86079,17.4674
Braniewo;54.37971,19.81959
Boguszow-Gorce;50.75514,16.20494
Bogdaniec;52.68897,15.07127
Bierawa;50.28111,18.24177
Bienkowka;49.776,19.77179
Balin;50.16799,19.3834
Pogorze;49.79961,18.84327
Ruda-Huta;51.23666,23.59486
Godziszow Pierwszy;50.75753,22.48386
Osiedle Henrykowskie;51.08999,17.05289
Biala Roza;51.26162,19.54569
Dorado;18.45883,-66.26767
El Mango;18.23412,-65.87961
Galateo;18.36245,-66.25878
Ingenio;18.44217,-66.226
Las Ochenta;17.98469,-66.31795
Palomas;18.01358,-66.87323
Penuelas;18.05635,-66.72156
Sabana Eneas;18.08607,-67.08101
San Antonio;18.44884,-66.30267
Zayta;32.3856,35.05122
Yatta;31.4459,35.09443
`Urif;32.15949,35.22228
Tammun;32.28347,35.38367
Qedar;31.75406,35.31058
Bardalah;32.38632,35.48084
`Azzun;32.17496,35.05752
`Anzah;32.35916,35.22011
An Naqurah;32.26506,35.20135
`Abud;32.01637,35.06833
Sines;37.95622,-8.86979
Sao Martinho do Porto;39.51444,-9.13111
Sao Bartolomeu de Messines;37.25648,-8.28672
Reguengos de Monsaraz;38.42529,-7.53494
Ramada;38.80368,-9.1877
Manta Rota;37.16849,-7.51804
Macao;39.55573,-7.99421
Loures;38.83091,-9.16845
Lisbon;38.71667,-9.13333
Estoril;38.70571,-9.39773
Comporta;38.38059,-8.78608
Carnaxide;38.72706,-9.24671
Cacilhas;38.68638,-9.14938
Arronches;39.12242,-7.28619
Arrentela;38.625,-9.10151
Amora;38.62961,-9.11557
Almodovar;37.51279,-8.06008
Alges;38.70245,-9.22936
Vimioso;41.58473,-6.52767
Valenca;42.03104,-8.64595
Resende;41.10582,-7.9665
Olival;41.05024,-8.54416
Negreiros;41.43552,-8.61398
Mozelos;41.86774,-8.39776
Miranda do Douro;41.49692,-6.27308
Miranda do Corvo;40.09318,-8.33261
Lorvao;40.25938,-8.31683
Gemunde;41.26766,-8.64515
Esgueira;40.64899,-8.62943
Darque;41.68333,-8.76667
Chavao;41.45235,-8.60194
Celorico de Basto;41.38714,-8.00101
Carvalhosa;41.30057,-8.3608
Aroes;41.45553,-8.21419
Yaguaron;-25.56219,-57.28662
Trinidad;-27.13103,-55.70584
Itaugua;-25.39258,-57.35421
Mariano Roque Alonso;-25.20791,-57.53202
Bella Vista;-27.0491,-55.5717
Zlatarei;44.63057,24.25788
Zidurile;44.58176,25.55458
Vanatori;46.23333,24.93333
Vetis;47.8,22.76667
Vasilati;44.28778,26.4475
Valea Ramnicului;45.36395,27.04197
Valea Lunga Ogrea;45.05978,25.59024
Valea Iasului;45.18333,24.71667
Valea Borcutului;47.37483,24.65293
Vadu Moldovei;47.38333,26.36667
Urmenis;46.76667,24.36667
Tusnadu Nou;46.19364,25.88757
Turda;46.56667,23.78333
Tulghes;46.95,25.76667
Toporu;44.01056,25.65278
Tipar;46.47563,21.63431
Tihau;47.22724,23.32964
Tesila;45.30352,25.72324
Techirghiol;44.05,28.6
Surani;45.2,26.16667
Sura Mica;45.83333,24.06667
Suceava;47.63333,26.25
Starchiojd;45.31667,26.18333
Stancuta;44.9,27.83333
Spatarei;43.88848,25.1365
Soparlita;44.28333,24.28333
Siretel;47.4,26.73333
Santa Mare;47.60845,27.34537
Sangeorz-Bai;47.3685,24.67212
Sieu;47.01667,24.6
Secuieni;46.65,27.1
Secaria;45.28333,25.68333
Savinesti;46.85,26.46667
Salcioara;44.71667,25.58333
Salcioara;44.53333,26.88333
Salcia;44.48195,23.44645
Salatig;47.36667,23.13333
Ruseni;46.79841,26.53943
Rudeni;44.47242,25.97325
Rotunda;43.98333,24.31667
Rodna;47.41667,24.81667
Raca;44.43426,25.04333
Ribita;46.18333,22.76667
Rapanasu;47.38333,24.18333
Raducaneni;46.95,27.93333
Racoviteni;45.36667,26.9
Rachiti;47.76667,26.68333
Racasdia;44.99306,21.61806
Pusta;47.24596,22.72374
Pungesti;46.7,27.33333
Preutesti;47.45,26.41667
Potcoava;44.48333,24.65
Popesti;45.59533,27.07916
Pomi;47.7,23.31667
Poienile Izei;47.7,24.11667
Podoleni;46.8,26.61667
Plopsoru;44.78333,23.35
Pitesti;44.85,24.86667
Parcovaci;47.43586,26.85075
Petresti;45.92102,23.56083
Persinari;44.80185,25.4988
Papauti;45.78333,26.13333
Pantazi;44.93492,26.1402
Ozun;45.8,25.85
Orevita Mare;44.45715,22.91317
Olari;44.78482,26.21728
Ocna Mures;46.38333,23.85
Nucet;44.78333,25.55
Nepos;47.2775,24.5332
Motaieni;45.1,25.41667
Mosteni;44.19787,25.50854
Mosoaia;44.81667,24.76667
Miron Costin;46.9203,26.80567
Milosesti;44.73333,27.23333
Milcovul;45.65,27.25
Mihaesti;44.13333,24.78333
Maureni;45.40389,21.5025
Matesti;45.21339,26.75607
Malnas;46.01667,25.83333
Malcoci;45.13851,28.88824
Luncsoara;47.03663,22.54213
Lunca;46.85,24.56667
Livezi-Vale;46.41667,26.73333
Lipova;46.09085,21.69628
Izvoarele;45.03333,25.26667
Izbiceni;43.83333,24.65
Itesti;46.65309,26.87256
Ineu;46.43372,21.84048
Independenta;44.28333,27.15
Ighiu;46.15,23.51667
Iaslovat;47.75862,25.97742
Hoghiz;45.98333,25.3
Hateg;45.61667,22.95
Harman;45.71667,25.68333
Gura Vadului;45.05,26.46667
Greci;44.66132,25.34346
Gostavatu;44.08333,24.53333
Gornet-Cricov;45.08333,26.26667
Glodeanu-Silistea;44.83333,26.8
Ghizela;45.82417,21.73722
Ghiosesti;45.24235,25.62671
George Enescu;48.03333,26.48333
Fundulea;44.46667,26.51667
Fundata;45.45,25.3
Foltesti;45.75,28.05
Fizesu Gherlii;47.01667,23.98333
Ferestrau-Oituz;46.20249,26.57629
Falciu;46.29611,28.14083
Dumbrava;47.84418,23.0806
Dulcesti;43.90506,28.54796
Dudesti;44.9,27.43333
Domnesti-Targ;46.01667,27.18333
Domnesti;44.39919,25.91618
Dochia;46.90731,26.56763
Ditesti;44.9799,25.72655
Deta;45.38889,21.22444
Deparati;44.28116,25.22151
Deleni;46.2634,24.34119
Darmanesti;47.73333,26.15
Damoc;46.46667,26.86667
Cuza Voda;44.92513,27.73273
Cuejdiu;46.9904,26.29455
Cruset;44.63333,23.66667
Crivina;44.78636,26.05604
Covasint;46.2,21.6
Coteana;44.3,24.46667
Costesti;44.66667,24.88333
Corbii Mari;44.55,25.5
Contesti;47.3096,26.65605
Cociuba Mare;46.73333,22.0
Cociu;47.19926,24.23238
Ciuperceni;43.76667,24.95
Cislau;45.25,26.36667
Campurelu;44.23392,26.18719
Calnic;45.33844,21.85754
Cilieni;43.9,24.61667
Chilii;46.80254,27.03394
Chesint;46.04973,21.57944
Cerneti;44.63476,22.70931
Carbunesti;45.23333,26.2
Capu Codrului;47.53117,25.98724
Capu Campului;47.50822,25.97959
Bughea de Jos;45.17985,26.02044
Budila;45.66667,25.8
Brateiu;46.16667,24.41667
Botosana;47.68333,25.95
Bocsig;46.41667,21.95
Bircii;44.51673,24.60324
Balteni;44.86919,23.27311
Bichigiu;47.42522,24.33893
Berzovia;45.42611,21.62806
Bereni;46.55733,24.86821
Balteni;44.66488,25.69339
Baldovinesti;45.32182,27.91107
Balc;47.28333,22.53333
Baita;47.70614,23.49326
Araci;45.81187,25.65482
Vrani;45.03833,21.4925
Moieciu de Jos;45.50313,25.33719
Zagubica;44.19685,21.78838
Vranic;44.60237,20.32872
Novi Banovci;44.95691,20.28076
Nova Crnja;45.66833,20.605
Lapovo;44.18424,21.09727
Kucevo;44.4775,21.67
Dobrica;45.21339,20.84995
Baric;44.6507,20.25941
Sinosevic;44.61503,19.63601
Ravnje;44.94326,19.4228
Brdarica;44.55376,19.7715
Zhilevo;55.01408,38.01106
Zenzeli;45.92407,47.04739
Yermolayevo;52.71667,55.8
Yermish';54.76778,42.27111
Yanis'yarvi;61.89127,30.94849
Yambirno;54.1231,42.0911
Vysotsk;60.62879,28.57048
Vyborg;60.70763,28.75283
Vorontsovka;50.6132,40.3549
Vladikavkaz;43.03667,44.66778
Vizinga;61.07493,50.10311
Veselyy;47.09338,40.7422
Troyel'ga;57.4642,56.5362
Torbeyevo;54.07972,43.24732
Tlyustenkhabl';44.982,39.09773
Taremskoye;55.92889,43.04433
Sychevo;55.95771,36.22785
Svetlograd;45.33528,42.85472
Svecha;58.27849,47.51636
Suzdal';56.42274,40.44668
Surkhakhi;43.1875,44.90194
Stolbishchi;55.64679,49.21595
Stepnoye;51.37972,46.84917
Starodzhereliyevskaya;45.47599,38.2968
Staraya Stanitsa;48.34579,40.29376
Sosenskiy;54.05899,35.96228
Shuvalovo;60.04903,30.2936
Shcheglovo;60.02839,30.75289
Shatura;55.57253,39.53682
Severnyy;55.93583,37.54889
Sernovodsk;43.31277,45.15969
Semenovskoye;55.68333,37.55
Sechenovo;55.22444,45.89056
Samashki;43.28935,45.29786
Sadovoye;51.53111,40.50194
Rtishchevo;52.26041,43.78745
Pyatovskiy;54.68908,36.05634
Proletarskiy;50.79139,35.77306
Prigorodnyy;51.76608,55.26648
Ponazyrevo;58.35784,46.31421
Poddor'ye;57.46947,31.11561
Pestravka;52.3982,49.961
Peshki;56.13333,37.06667
Perevoz;55.59613,44.54461
Ozery;54.85998,38.55062
Olym;51.682,38.17652
Tsotsin-Yurt;43.24206,46.00013
Nytva;57.9437,55.3396
Novozhivotinnoye;51.8853,39.1753
Novoukrainskiy;44.8942,38.04886
Novo-Nikol'skoye;56.56667,37.53333
Novogurovskiy;54.46782,37.33709
Nizhny Tagil;57.91944,59.965
Nizhniy Lomov;53.53041,43.67663
Mokshan;53.4365,44.61322
Mikhaylov;54.2298,39.0269
Mezhdurechensk;53.2665,49.1116
Marfino;56.07237,37.55899
Maloyaroslavets;55.01457,36.47185
Lomintsevskiy;53.98548,37.66471
Lesogorskiy;61.04549,28.92938
Kuznechikha;57.21607,42.33477
Kuybyshevskiy Zaton;55.1593,49.1701
Kur'yanovo;55.65,37.7
Kurkent;41.71199,48.11531
Kurchatov;51.6601,35.6521
Snells Beach;-36.40819,174.72019
Veracruz;8.89319,-79.62338
San Felix;8.29325,-81.86916
Punta Pena;8.91659,-82.18488
Puerto Pilon;9.36316,-79.79333
Pena Blanca;7.72035,-80.2837
Palmira;9.54686,-79.21541
Ola;8.42024,-80.65051
Llano Marin;8.48847,-80.32928
Llano de Piedra;7.66573,-80.56253
Las Trancas;7.73643,-80.37259
Las Margaritas;9.19181,-79.08672
Las Huacas;7.9033,-81.14002
La Arena;7.9694,-80.46152
Hato Juli;8.35259,-81.84839
El Cope;8.43927,-80.68009
Cerro Iglesia;8.29048,-81.56557
Camaron Arriba;8.38774,-81.9965
Cacique;9.6118,-79.61581
Nuevo Belen;9.08929,-79.39177
Contadora;8.62483,-79.03748
La Mesa;9.49587,-82.67534
Nuevo San Carlitos;8.46153,-82.44183
Mirones;8.55735,-81.7275
Cerro Pelado;8.16247,-81.53917
Ticapampa;-9.75,-77.45
Tauca;-8.48333,-78.05
Sorochuco;-6.91053,-78.2555
Shirac;-7.34924,-78.04782
Santo Domingo;-5.02611,-79.87417
Santa;-8.98861,-78.61194
Ramon Castilla;-4.26066,-69.95714
Posic;-6.01389,-77.16361
Montevideo;-6.61825,-77.82315
Marcavelica;-4.87778,-80.70528
Marcabal;-7.7,-78.03333
Huarmaca;-5.56583,-79.52194
Catacaos;-5.26667,-80.68333
Casma;-9.47472,-78.30167
Caleta Cruz;-3.6375,-80.59167
Agua Blanca;-6.72343,-76.69643
Zarumilla;-3.50306,-80.27306
Yunga;-16.2,-70.68333
Vilque;-15.76667,-70.25859
Tibillo;-14.09306,-75.17194
Tarucachi;-17.52472,-70.02833
Sapallanga;-12.15,-75.18333
Santa Rosa;-11.79917,-77.17333
Querobamba;-14.01333,-73.83972
Poroy;-13.49712,-72.04254
Pomacocha;-12.85,-74.51667
Perene;-10.9451,-75.22394
Palca;-17.77528,-69.96028
Ollantaytambo;-13.25722,-72.26306
Ocros;-10.40592,-77.39601
Nunoa;-14.47788,-70.63583
Moho;-15.35,-69.5
Macusani;-14.08333,-70.43333
Lucanas;-14.6,-74.25
Laraos;-12.34793,-75.78671
La Oroya;-11.51893,-75.89935
Lampa;-15.18444,-73.34889
Ichupampa;-15.64979,-71.68692
Huanza;-11.65667,-76.50333
Churcampa;-12.7,-74.4
Chuquibambilla;-14.10194,-72.70667
Chucatamani;-17.48056,-70.1225
Chamaca;-14.3028,-71.85516
Chalhuanca;-14.30056,-73.23083
Caracoto;-15.5679,-70.10246
Andahuaylillas;-13.6725,-71.67944
Ahuac;-12.06667,-75.35
Accocunca;-14.76944,-71.25417
Jayune;-15.56277,-71.30312
Kokopo;-4.3432,152.26867
Vizal San Pablo;15.06247,120.90021
Viriato;12.29031,124.35333
Valencia;11.10889,124.5725
Umaganhan;11.3292,124.377
Tulunan;6.83444,124.87694
Tubod-dugoan;10.0443,123.4994
Tingloy;13.66091,120.8711
Tinampo;13.22825,123.50723
Tiguisan;12.83941,121.46052
Tigaon;13.6331,123.4968
Tarusan;8.65461,117.5104
Tandag;9.07833,126.19861
Tampakan;6.49034,125.08275
Tambulig;8.0702,123.5348
Talang;15.02488,120.83782
Talaban;10.1254,122.8671
Taguig;14.5243,121.0792
Tagudin;16.9355,120.4442
Tabaan;16.3,120.51667
Surallah;6.37527,124.74521
Socorro;9.62139,125.96667
Sibaguan;11.55778,122.71389
Salunayan;7.15444,124.4975
San Vicente;14.1061,122.8733
Santo Tomas;16.2798,120.3792
Santo Nino;11.9263,124.4492
Santo Nino;7.32778,125.70528
Santo Domingo;13.42,123.4486
Santa Maria;15.5232,120.7925
Santa Lucia;15.48184,120.77456
Santa Lucia;15.2097,121.0061
Santa Cecilia;14.1054,122.2016
Santa Ana;18.46986,122.14775
San Miguel;7.485,125.67639
San Marcelino;14.97418,120.15733
San Manuel;15.49053,120.66543
San Juan;14.05715,121.22931
San Isidro;14.2086,121.3983
Batobato;6.82522,126.08458
San Benito;14.85155,120.42693
San Alejandro;15.56098,120.84896
Salcedo;12.81052,121.46742
Real;14.66397,121.60412
Quiapo;14.6,120.9833
Putol;13.9922,120.7275
Prado Siongco;14.879,120.51292
Pidigan;17.57,120.5903
Pawa;13.1773,123.7301
Patabog;13.4432,122.4557
Pangil;14.20102,120.90778
Pando;15.39395,120.68473
Panalanoy;11.25111,125.00639
Pamatawan;14.92779,120.21363
Palapag;12.5458,125.1147
Pagsanahan Norte;17.9193,120.4458
Paete;14.3647,121.4829
Obando;14.7098,120.9362
Nangalisan;16.4344,120.4778
Naawan;8.43444,124.28889
Maslog;13.1046,123.7713
Marintoc;12.28554,123.72281
Maria Aurora;15.7967,121.4737
Maquiling;10.78094,123.3938
Mapulo;13.7317,121.1842
Mano;11.04167,123.94472
Manikling;6.87907,126.06063
Manaoag;16.0438,120.4861
Mamburao;13.2233,120.596
Malabon;15.6361,119.9379
Mahatao;20.41585,121.94707
Maguinao;15.02231,120.93409
Maddela;16.3414,121.6849
Macapsing;15.6783,121.1319
Mabini;17.09936,121.73454
Maagnas;13.7192,123.6675
Lutayan;6.6189,124.88156
Luklukan;14.3254,122.7124
Los Banos;14.17025,121.24181
Loreto;8.18694,125.85306
Looc;13.72036,120.24982
Lonoy;11.51222,122.55333
Lipayran;11.0593,123.6342
Liozon;15.3993,119.933
Limulan;6.58528,124.06189
Libertad;8.1075,126.02639
Lapinigan;8.42056,125.9825
Lambayong;6.51944,125.04444
Lagasit;15.9934,120.794
Koronadal;6.24501,124.98743
Kambing;5.94646,121.30757
Julita;10.97472,124.96167
Ivisan;11.52167,122.69083
Imelda;14.03333,122.88333
Ignit;6.70083,125.29194
Hiju, Maco;7.38541,125.82822
Gumaca;13.921,122.1002
Guinayangan, Fourth District of Quezon;13.9002,122.44808
Gitagum;8.59667,124.40639
Gigmoto;13.7796,124.39
Gattaran;18.06157,121.6441
Gabi;7.6215,126.092
Dumpay;15.88295,120.38899
Don Pedro;15.88518,120.43036
Dolores;12.0371,125.4825
Dingle;10.9995,122.6711
Del Carmen;15.00544,120.53412
Dapawan;12.40694,122.02778
Damawato;6.7,124.78333
Daguit;14.1895,122.7266
Cuyo;10.8525,121.00861
Calabasa;7.24639,122.23417
Cabcab;13.6268,124.0515
Burgos;15.72892,120.57224
Bulalacao;12.32535,121.34351
Bugko;12.5356,124.7923
Buenlag;15.62743,120.58199
Buenavista;7.23611,122.25528
Bukay Pait;6.56161,124.76706
Bucay;17.5404,120.7188
Bolaoit;15.93218,120.43073
Bocaue;14.79833,120.92611
Bobon;6.86782,126.32838
Bitungol;14.88333,121.03333
Binlod;9.91845,123.60743
Biga;8.35778,124.25972
Barangobong;15.87778,120.54833
Balogo;13.5016,123.0638
Balogo;13.2871,123.5496
Balangonan;5.57333,125.35389
Balabac;7.98363,117.04868
Bachauan;11.2067,123.9634
Bacoor;14.45896,120.93851
Bacayawan;7.76667,124.23333
Awallan;17.92439,121.91305
Arteche;12.2645,125.4048
Armenia;12.25324,123.74361
Aramawayan;9.34247,118.1623
Anda;9.746,124.5767
Alibago;17.11667,121.86667
Abiera;11.5749,122.09
Kalang;5.91972,121.36306
Kaligutan;7.70306,125.81306
Capitan Ramon;10.7602,123.1148
Esperanza;6.49804,124.66741
Sukkur;27.70323,68.85889
Sibi;29.54299,67.87726
Shahpur Chakar;26.15411,68.65013
Saidu Sharif;34.74655,72.35568
Pishin;30.58176,66.99406
Narowal;32.10197,74.87303
Mirpur Bhtoro;24.72852,68.2601
Lakhi;27.84884,68.69972
Kot Addu;30.46907,70.96699
Khurrianwala;31.49936,73.26763
Khalabat;34.05997,72.88963
Khairpur Nathan Shah;27.09064,67.73489
Johi;26.69225,67.61431
Faqirwali;29.46799,73.03489
Upper Dir;35.2074,71.8768
Daromehar;24.79382,68.17978
Risalpur Cantonment;34.06048,71.99276
Zurawica;49.82348,22.78925
Wyszkow;52.59278,21.4584
Urzedow;50.99323,22.1426
Tarnogrod;50.3609,22.74174
Suwalki;54.11175,22.93087
Stare Babice;52.26028,20.83403
Smegorzow;50.22843,21.00414
Sekowa;49.62217,21.19769
Rytro;49.48904,20.66631
Olsztyn;53.77995,20.49416
Niedzica;49.41008,20.30273
Narol;50.34925,23.32679
Miejsce Piastowe;49.6344,21.78735
Ludwin;51.34605,22.90581
Lidzbark Warminski;54.12588,20.57954
Lecka;49.8786,22.01368
Kurow;51.38941,22.18637
Krzynowloga Mala;53.15773,20.78579
Krempna;49.51128,21.50042
Kraczkowa;50.03796,22.16801
Kamionka Wielka;49.56848,20.82364
Jozefow;52.13707,21.23589
Joniec;52.60128,20.58177
Jasieniec;51.82104,20.94099
Jadowniki;49.95884,20.64434
Ilow;52.33953,20.0273
Hornowek;52.28638,20.80793
Grudki;53.09488,23.66848
Fredropol;49.69578,22.74625
Dziewin;50.07554,20.45491
Dzialoszyce;50.36534,20.35226
Abramow;51.45647,22.31521
Zabnica;49.58139,19.15621
Szczyrk;49.71724,19.03183
Studzionka;49.96232,18.7728
Studzienice;54.09262,17.57581
Stronie Slaskie;50.29554,16.87397
Stoszowice;50.59986,16.73896
Slonsk;52.56345,14.80526
Sliwice;53.70875,18.1737
Siewierz;50.46657,19.23028
Sierakow Slaski;50.8029,18.57548
Sadki;53.16036,17.44912
Rusiec;51.32444,18.98506
Rokitno Szlacheckie;50.43195,19.43293
Rokiciny;49.57243,19.92302
Raczna;50.00984,19.76784
Przyborow;49.6215,19.38701
Przedborz;51.08789,19.87384
Pogorzela;51.8222,17.23017
Pobiedziska;52.47753,17.28767
Ozimek;50.67944,18.2137
Osiek;49.95067,19.26444
Nowy Tomysl;52.3195,16.12844
Angeren;51.91583,5.95833
Angelslo;52.7809,6.92645
Salderes;51.51505,5.38991
Meerhoven;51.44267,5.41102
Skjervoy;70.03114,20.97141
Olderdalen;69.60407,20.53272
Voss;60.62869,6.41474
Vikoyri;61.08707,6.57914
Tau;59.06481,5.9225
Skjaerhalden;59.02526,11.03685
Sandvika;59.89073,10.52774
Sande;61.32511,5.79773
Rollag;59.98431,9.29644
Oystese;60.38825,6.19251
Narvik;68.43838,17.4272
Maura;60.2583,11.03192
Kristiansand;58.14671,7.9956
Hermansverk;61.18461,6.85016
Fagernes;60.98584,9.23236
Drammen;59.74389,10.20449
Oppeid;68.08522,15.60942
Hommersak;58.92556,5.85104
Neskollen;60.12159,11.33926
Skei;61.5715,6.4791
Sogndal;61.22908,7.09674
Ulsteinvik weather pws station;62.34338,5.84385
Walin;27.9837,83.75925
Uaboe;-0.51393,166.92384
Raupunga;-39.03333,177.21667
Paraparaumu;-40.91667,175.01667
Paihia;-35.28067,174.09103
North Shore;-36.8,174.75
Otara;-36.9482,174.87019
Mrzezino;54.65378,18.43025
Mnikow;50.06044,19.72595
Lubanie;52.74689,18.9194
Lagiewniki;50.79088,16.84457
Krotoszyn;51.69868,17.43738
Kozieglowy;50.60035,19.16299
Koscierzyna;54.12226,17.98119
Koscielisko;49.29073,19.88929
Kolbaskowo;53.33641,14.43835
Kamien;50.01215,19.58536
Kaczory;53.10348,16.88169
Gryfino;53.25243,14.48831
Gorazdze;50.52903,18.01003
Horodok;49.17209,26.56357
Horodenka;48.669,25.5033
Foros;44.39312,33.78816
Buran;48.30003,39.61526
Dolinnoye;44.7532,33.77766
Dovhe;48.36504,23.28029
Dobrooleksandrivka;46.33747,30.48784
Cherniatyn;48.66034,25.44832
Chornobaivka;46.69641,32.5471
Chapayevka;45.28119,34.89428
Berehomet;48.17148,25.33032
Trudovoye;45.23797,33.75836
Barturyn;51.34567,32.87794
Balovne;47.05111,31.88617
Lyngdal;58.1376,7.07002
Farsund;58.09479,6.80468
Eidsvag;62.77656,8.0655
Krasnyy Oktyabr';51.54018,45.70382
Krasnyye Tkachi;57.49259,39.75629
Krasnoarmeyskoye;52.71994,50.03122
Kozlovo;56.50977,36.27326
Kosmynino;57.58183,40.76434
Korzhevskiy;45.19414,37.71949
Kideksha;56.42381,40.52146
Kholmskiy;44.84694,38.385
Kerva;55.61167,39.57665
Katyr-Yurt;43.17164,45.36991
Gereykhanovskoye;41.7011,48.28113
Richtenberg;54.20131,12.89409
Rheden;52.05784,9.78714
Regnitzlosau;50.3,12.05
Regis-Breitingen;51.08883,12.43841
Ratekau;53.95,10.73333
Ramerberg;48.01806,12.14513
Rain;48.69029,10.91611
Raeckelwitz;51.2573,14.22422
Querfurt;51.38124,11.60047
Puettlingen;49.2855,6.88723
Prittriching;48.20074,10.92801
Pretzsch;51.71466,12.80663
Pockau;50.7,13.23333
Plochingen;48.71067,9.41949
Plauen;50.4973,12.13782
Plankstadt;49.39444,8.59611
Pfullendorf;47.9261,9.2578
Pettstadt;49.82996,10.92839
Pattensen;52.26448,9.76436
Parchim;53.42631,11.84875
Papendorf;54.03523,12.13263
Ottrau;50.80599,9.38575
Otterbach;49.48554,7.7345
Ottenbach;48.73649,9.74844
Ostenfeld;54.464,9.2343
Orsingen-Nenzingen;47.84272,8.95909
Opladen;51.06863,7.00387
Oberweissbach;50.58231,11.14382
Oberthulba;50.19904,9.95882
Oberteuringen;47.72409,9.46979
Obernkirchen;52.2721,9.12912
Oberjettingen;48.57468,8.77636
Oberderdingen;49.06556,8.80306
Nuembrecht;50.90427,7.54063
Niederwinkling;48.88333,12.8
Niederwerth;50.4,7.61667
Nidderau;50.23805,8.86704
Neuruppin;52.92815,12.80311
Neuler;48.92803,10.06888
Neuhaus an der Oste;53.80043,9.03348
Neufraunhofen;48.4,12.21667
Mullheim;47.8082,7.63035
Muggensturm;48.86667,8.28333
Moos;47.72439,8.93479
Moenchhagen;54.15146,12.2167
Molbergen;52.85805,7.92548
Mockmuhl;49.3249,9.35837
Mitwitz;50.25111,11.20818
Meschede;51.3502,8.28332
Merching;48.24594,10.9853
Meppen;52.69064,7.29097
Mehren;50.18333,6.88333
Maxdorf;49.48806,8.29167
Markneukirchen;50.31144,12.32951
Markersbach;50.53545,12.86149
Margetshochheim;49.8375,9.86389
Mainhardt;49.07611,9.55639
Magdala;50.90698,11.44801
Luisenthal;50.78333,10.73333
Lugau;50.73843,12.74861
Loeberitz;51.65393,12.14655
Lichtenberg;51.18333,13.96667
Lichtenau;48.72607,8.00486
Leubnitz;50.72313,12.3566
Leonberg;49.94708,12.2852
Leimen;49.34737,8.68733
Leichlingen;51.10628,7.01873
Lehrberg;49.34568,10.51101
